Cód Cidades,Cidades,UF,Já é atendido pela Loggi?,Distância de Cajamar (km),População 2018,área em KM2,Tem malha aerea?,Latitude,Longitude,IDH,Taxa de Homicídio
3547304,Santana de Parnaíba (SP),SP,nao,"43,13",131971,184,nao,-23.44388900000000,-46.91777800000000,"0,814","7,7"
3503307,Araras (SP),SP,nao,"171,89",131286,643,nao,-22.356947700000000,-47.383888900000000,"0,781","11,5"
2304202,Crato (CE),CE,nao,2480,130620,1009,nao,-7.236911200000000,-39.414923600000000,"0,713","40,9"
4322400,Uruguaiana (RS),RS,nao,1545,129760,5716,nao,-29.765512300000000,-57.082946600000000,"0,744","19,3"
4119152,Pinhais (PR),PR,nao,"407,4",129450,61,nao,-25.442948900000000,-49.1926700000000,"0,751","34,3"
4202909,Brusque (SC),SC,nao,"634,47",128872,283,nao,-27.096462800000000,-48.913632300000000,"0,795","4,8"
3513504,Cubatão (SP),SP,nao,"64,98",128741,142,nao,-23.885798200000000,-46.424186900000000,"0,737","18,8"
3204906,São Mateus (ES),ES,nao,1144,128272,2343,nao,-18.715766300000000,-39.849221100000000,"0,735","56,9"
1504422,Marituba (PA),PA,nao,2843,127907,103,nao,-1.359530600000000,-48.336150400000000,"0,676","84,5"
2306405,Itapipoca (CE),CE,nao,3133,127501,1615,nao,-3.49932900000000,-39.58357100000000,"0,64","15,8"
4316808,Santa Cruz do Sul (RS),RS,nao,1272,127442,733,nao,-29.714179900000000,-52.428453300000000,"0,773","36,3"
3118304,Conselheiro Lafaiete (MG),MG,nao,"591,47",127380,370,nao,-20.659610700000000,-43.78574300000000,"0,761","19,8"
4303103,Cachoeirinha (RS),RS,nao,1119,127333,44,nao,-29.949335300000000,-51.089892700000000,"0,745","39,5"
4104204,Campo Largo (PR),PR,nao,"458,55",127333,1249,nao,-25.459772600000000,-49.527085100000000,"0,757","36,3"
3300209,Araruama (RJ),RJ,nao,"550,88",127017,634,nao,-22.873320300000000,-42.342889700000000,"0,718","64,0"
3304201,Resende (RJ),RJ,nao,"282,04",126927,1114,nao,-22.468362600000000,-44.446349400000000,"0,768","32,5"
2307700,Maranguape (CE),CE,nao,2930,126534,591,nao,-3.892296700000000,-38.683542700000000,"0,659","52,0"
3201506,Colatina (ES),ES,nao,"992,34",124504,1423,nao,-19.547860100000000,-40.626370100000000,"0,746","28,3"
1501709,Bragança (PA),PA,nao,2868,124154,2090,nao,-1.057396700000000,-46.763540600000000,"0,6","33,4"
3556206,Valinhos (SP),SP,nao,"96,83",124066,149,nao,-22.9705600000000,-46.9958300000000,"0,819","7,4"
3202405,Guarapari (ES),ES,nao,"909,94",123181,592,nao,-20.671875500000000,-40.498461700000000,"0,731","40,3"
3551702,Sertãozinho (SP),SP,nao,"339,08",122653,403,nao,-21.137578200000000,-47.991374100000000,"0,761","8,2"
3302007,Itaguaí (RJ),RJ,nao,"408,21",122559,272,nao,-22.862959700000000,-43.77532200000000,"0,715","73,6"
3171204,Vespasiano (MG),MG,nao,"613,37",122450,70,nao,-19.694095800000000,-43.918652100000000,"0,688","44,0"
4301602,Bagé (RS),RS,nao,1501,122197,4096,nao,-31.328714300000000,-54.107063400000000,"0,74","13,9"
2107506,Paço do Lumiar (MA),MA,nao,2911,121909,132,nao,-2.521057600000000,-44.106303100000000,"0,724","51,7"
3543303,Ribeirão Pires (SP),SP,nao,"49,66",121837,99,nao,-23.711075400000000,-46.41440600000000,"0,784","20,6"
3525003,Jandira (SP),SP,nao,"41,8",121506,18,nao,-23.528204400000000,-46.901955400000000,"0,76","10,8"
5221403,Trindade (GO),GO,nao,"924,24",121280,713,nao,-16.654992400000000,-49.487620300000000,"0,699","55,3"
2103307,Codó (MA),MA,nao,2686,120754,4364,nao,-4.45562300000000,-43.89235400000000,"0,595","34,8"
3506508,Birigui (SP),SP,nao,"508,02",120701,531,nao,-21.290849100000000,-50.3414400000000,"0,78","9,2"
3511102,Catanduva (SP),SP,nao,"389,12",120676,292,nao,-21.133103500000000,-48.971281700000000,"0,785","7,5"
3505500,Barretos (SP),SP,nao,"428,24",120626,1564,nao,-20.553143700000000,-48.569750900000000,"0,789","14,2"
2924009,Paulo Afonso (BA),BA,nao,2241,120590,1574,nao,-9.399100600000000,-38.22671100000000,"0,674","61,7"
3518404,Guaratinguetá (SP),SP,nao,"187,54",120406,751,nao,-22.805783900000000,-45.190892600000000,"0,798","28,4"
3557006,Votorantim (SP),SP,nao,"106,04",119901,184,nao,-23.546666700000000,-47.437777800000000,"0,767","21,0"
3131703,Itabira (MG),MG,nao,"706,94",119290,1256,nao,-19.618626400000000,-43.226701100000000,"0,756","21,9"
3554003,Tatuí (SP),SP,nao,"145,78",118944,524,nao,-23.351473300000000,-47.855243800000000,"0,752","5,9"
3556503,Várzea Paulista (SP),SP,nao,"60,49",118924,35,nao,-23.211388900000000,-46.828333300000000,"0,759","15,3"
4101507,Arapongas (PR),PR,nao,"588,21",118502,381,nao,-23.41529600000000,-51.4259200000000,"0,748","21,4"
5008305,Três Lagoas (MS),MS,nao,"668,59",117498,10206,sim,-20.786679900000000,-51.706124700000000,"0,744","27,7"
3103504,Araguari (MG),MG,nao,"657,14",117435,2731,nao,-18.651125600000000,-48.193376400000000,"0,773","21,4"
3510500,Caraguatatuba (SP),SP,nao,"172,82",116822,484,nao,-23.6202800000000,-45.4130600000000,"0,759","36,5"
3523404,Itatiba (SP),SP,nao,"85,76",116533,323,nao,-22.996586100000000,-46.841204200000000,"0,778","10,4"
3545209,Salto (SP),SP,nao,"104,49",116194,134,nao,-23.198998300000000,-47.291368200000000,"0,78","5,9"
5208004,Formosa (GO),GO,nao,1085,115800,5807,nao,-15.549244300000000,-47.330121200000000,"0,744","64,9"
3539806,Poá (SP),SP,nao,"49,66",115484,17,nao,-23.524908200000000,-46.344566300000000,"0,771","23,5"
2606804,Igarassu (PE),PE,nao,2683,115438,306,nao,-7.835442300000000,-34.906112500000000,"0,692","64,9"
1600600,Santana (AP),AP,nao, sem info,115438,1578,nao,-0.05542600000000,-51.176767200000000,"0,665","52,7"
4100400,Almirante Tamandaré (PR),PR,nao,"416,77",115376,195,nao,-25.313304800000000,-49.299783800000000,"0,699","88,5"
2910727,Eunápolis (BA),BA,nao,1522,115312,1197,nao,-16.372241200000000,-39.57570400000000,"0,677","124,3"
4302105,Bento Gonçalves (RS),RS,nao,1025,115102,277,nao,-29.165502100000000,-51.519757300000000,"0,778","29,8"
3147907,Passos (MG),MG,nao,"390,29",114454,1339,nao,-20.71916200000000,-46.609450700000000,"0,756","10,5"
1303403,Parintins (AM),AM,nao,3556,113794,5952,nao,-2.634456700000000,-56.731932400000000,"0,658","26,6"
3169901,Ubá (MG),MG,nao,"587,48",113331,408,nao,-21.1200000000,-42.94277700000000,"0,724","31,2"
2613701,São Lourenço da Mata (PE),PE,nao,2660,112108,264,nao,-7.995960700000000,-35.03933500000000,"0,653","62,1"
3534708,Ourinhos (SP),SP,nao,"376,38",111806,296,nao,-22.977791800000000,-49.86820400000000,"0,778","9,9"
2100055,Açailândia (MA),MA,nao,2354,111336,5806,nao,-4.951021600000000,-47.495786100000000,"0,672","46,1"
3119401,Coronel Fabriciano (MG),MG,nao,"856,2",110313,221,nao,-19.520006700000000,-42.628268600000000,"0,755","50,1"
5215231,Novo Gama (GO),GO,nao,1014,110110,192,nao,-16.050441600000000,-48.031196400000000,"0,684","60,0"
4128104,Umuarama (PR),PR,nao,"812,9",110029,1233,nao,-23.761705700000000,-53.307989500000000,"0,761","14,7"
5003207,Corumbá (MS),MS,nao,1432,109900,64961,sim,-19.001636500000000,-57.653431600000000,"0,7","22,9"
3143906,Muriaé (MG),MG,nao,"632,46",108533,843,nao,-21.13055600000000,-42.36638900000000,"0,734","23,2"
2510808,Patos (PB),PB,nao,2636,107788,513,nao,-7.025828500000000,-37.276681700000000,"0,701","25,2"
4119509,Piraquara (PR),PR,nao,"399,76",107785,228,nao,-25.442809500000000,-49.059791700000000,"0,7","53,7"
5220454,Senador Canedo (GO),GO,nao,"916,73",105535,245,nao,-16.701323300000000,-49.091492100000000,"0,701","69,0"
4103701,Cambé (PR),PR,nao,"560,84",105344,495,nao,-23.278285700000000,-51.279982900000000,"0,734","15,3"
2101202,Bacabal (MA),MA,nao,2654,103318,1683,nao,-4.231813200000000,-44.78116700000000,"0,651","47,6"
3536505,Paulínia (SP),SP,nao,"125,78",102588,139,nao,-22.763039100000000,-47.153221300000000,"0,795","25,0"
3302270,Japeri (RJ),RJ,nao,"389,53",101239,83,nao,-22.642764200000000,-43.653383100000000,"0,659","95,5"
3526704,Leme (SP),SP,nao,"189,6",101186,403,nao,-22.18583300000000,-47.3900000000,"0,744","13,0"
2412005,São Gonçalo do Amarante (RN),RN,nao,2954,101169,251,nao,-5.793233100000000,-35.328631200000000,"0,661","106,3"
1301902,Itacoatiara (AM),AM,nao,4179,99838,8892,nao,-3.14292800000000,-58.443873200000000,"0,644","38,67"
2600054,Abreu e Lima (PE),PE,nao,2672,99353,126,nao,-7.90071900000000,-34.89838900000000,"0,679","38,67"
4309308,Guaíba (RS),RS,nao,1157,99322,377,nao,-30.113073100000000,-51.32944200000000,"0,73","38,67"
3522109,Itanhaém (SP),SP,nao,"113,35",98646,599,nao,-24.184884700000000,-46.792157200000000,"0,745","38,67"
3509007,Caieiras (SP),SP,nao,40,98243,96,nao,-23.364462100000000,-46.748476500000000,"0,781","38,67"
2501807,Bayeux (PB),PB,nao,2769,96994,32,nao,-7.1301631,-34.936532,"0,649","38,67"
1302504,Manacapuru (AM),AM,nao," 4,000,590",96436,7329,nao,-3.299676800000000,-60.621352800000000,"0,614","38,67"
3528502,Mairiporã (SP),SP,nao,"59,94",95644,321,nao,-23.318611100000000,-46.586666700000000,"0,788","38,67"
4107652,Fazenda Rio Grande (PR),PR,nao,"439,07",95260,117,nao,-25.646607700000000,-49.310314900000000,"0,72","38,67"
2607208,Ipojuca (PE),PE,nao,2626,94593,527,nao,-8.398077300000000,-35.061106800000000,"0,619","38,67"
3147105,Pará de Minas (MG),MG,nao,"572,96",92753,551,nao,-19.859963700000000,-44.607531300000000,"0,725","38,67"
3133808,Itaúna (MG),MG,nao,"550,47",92700,496,nao,-20.07555600000000,-44.57638900000000,"0,758","38,67"
3508504,Caçapava (SP),SP,nao,"113,95",92586,370,nao,-23.09920400000000,-45.70764500000000,"0,788","38,67"
4126256,Sarandi (PR),PR,nao,"643,44",92302,103,nao,-23.44411700000000,-51.87601600000000,"0,695","38,67"
3144805,Nova Lima (MG),MG,nao,"605,29",92219,428,nao,-19.985408900000000,-43.847069100000000,"0,813","38,67"
3113404,Caratinga (MG),MG,nao,796,91872,1251,nao,-19.790088700000000,-42.14053300000000,"0,706","38,67"
2906501,Candeias (BA),BA,nao,1939,89694,264,nao,-12.669380600000000,-38.540646200000000,"0,691","38,67"
2806701,São Cristóvão (SE),SE,nao,2154,89241,437,nao,-11.013646500000000,-37.207113400000000,"0,662","118,0"
3168705,Timóteo (MG),MG,nao,"845,54",88941,145,nao,-19.577139500000000,-42.643610800000000,"0,77","38,67"
5217609,Planaltina (GO),GO,nao,1073,88838,2539,nao,-15.457153600000000,-47.608902400000000,"0,669","38,67"
3550605,São Roque (SP),SP,nao,"71,33",88485,308,nao,-23.49980400000000,-47.137064612861600000000,"0,768","38,67"
